TestId,Price1,Price2,Time1,Time2,Time3,DiscountRatio,m,g,x1,x2,profit1,profit2,opCost1,opCost2
1,20,20,20,10,20,0.5,1,0.25,55.86666666666667,16.53333333333333,1381.4666666666667,255.86666666666665,105.86666666666667,66.53333333333333
1,20,20,20,10,20,1.0,1,0.25,55.733333333333334,17.066666666666666,1388.9333333333334,257.2,105.73333333333333,67.06666666666666
1,20,20,20,10,20,1.5000000000000002,1,0.25,55.6,17.6,1396.4,258.0,105.6,67.6
1,20,20,20,10,20,2.0,1,0.25,55.46666666666667,18.133333333333333,1403.8666666666668,258.26666666666665,105.46666666666667,68.13333333333333
1,20,20,20,10,20,2.5,1,0.25,55.333333333333336,18.666666666666668,1411.3333333333333,258.0,105.33333333333334,68.66666666666667
1,20,20,20,10,20,3.0000000000000004,1,0.25,55.199999999999996,19.2,1418.7999999999997,257.2,105.19999999999999,69.2
1,20,20,20,10,20,3.5000000000000004,1,0.25,55.06666666666666,19.733333333333334,1426.2666666666667,255.86666666666667,105.06666666666666,69.73333333333333
1,20,20,20,10,20,4.0,1,0.25,54.93333333333333,20.266666666666666,1433.7333333333331,254.0,104.93333333333334,70.26666666666667
1,20,20,20,10,20,4.5,1,0.25,54.8,20.8,1441.2,251.60000000000002,104.8,70.8
1,20,20,20,10,20,5.0,1,0.25,54.666666666666664,21.333333333333332,1448.6666666666667,248.66666666666669,104.66666666666666,71.33333333333333
